dt;treatment_flag;gross_amt_base;gross_amt_cross;gross_amt_other;unit_cnt_base;unit_cnt_cross;unit_cnt_other
02-10-2019;control;166828612.0;53543744.0;36160024.0;8065.0;4547.0;426.0
03-10-2019;control;133456847.0;41267716.0;32383155.0;5356.0;2886.0;356.0
04-10-2019;control;126453819.0;25054801.0;32661049.0;6963.0;1931.0;594.0
05-10-2019;control;87578073.0;20794965.0;19453374.0;3632.0;1312.0;1192.0
06-10-2019;control;58426737.0;11381418.0;20600260.0;1690.0;650.0;246.0
07-10-2019;control;173213462.0;43545933.0;50659907.0;7446.0;3900.0;436.0
08-10-2019;control;176241708.0;48169073.0;69506621.0;6936.0;2964.0;610.0
09-10-2019;control;173372585.0;57207541.0;46298828.0;6779.0;3066.0;447.0
10-10-2019;control;121339466.0;26476503.0;36081611.0;2733.0;1765.0;325.0
11-10-2019;control;145213622.0;37192341.0;39766498.0;6230.0;4059.0;727.0
12-10-2019;control;83193297.0;17298252.0;24577506.0;1965.0;1327.0;324.0
13-10-2019;control;50518543.0;5127007.0;23326719.0;561.0;188.0;132.0
14-10-2019;control;63586592.0;10814525.0;28202399.0;2021.0;329.0;174.0
15-10-2019;control;148920305.0;31927921.0;33651093.0;7882.0;4739.0;467.0
16-10-2019;control;138630986.0;37489412.0;60174400.0;4309.0;2772.0;758.0
17-10-2019;control;177933914.0;41885609.0;48893475.0;4346.0;2454.0;645.0
18-10-2019;control;168564957.0;37267936.0;51735974.0;6224.0;2871.0;584.0
19-10-2019;control;104247551.0;18665190.0;25832024.0;1956.0;1446.0;285.0
20-10-2019;control;91347754.0;19929085.0;42279386.0;1551.0;1646.0;430.0
21-10-2019;control;196044262.0;36948246.0;62749162.0;5689.0;2924.0;722.0
22-10-2019;control;207957823.0;43032420.0;70294957.0;6655.0;2512.0;534.0
23-10-2019;control;238388645.0;41642965.0;86478733.0;6122.0;2047.0;1887.0
24-10-2019;control;201559777.0;50025307.0;69188284.0;6112.0;3045.0;866.0
25-10-2019;control;177470799.0;61758974.0;47881290.0;5390.0;2428.0;589.0
26-10-2019;control;91661007.0;20943156.0;38982941.0;1787.0;1047.0;220.0
27-10-2019;control;69721515.0;20190157.0;28414186.0;776.0;702.0;312.0
28-10-2019;control;212641068.0;36140412.0;70288456.0;5221.0;2891.0;607.0
29-10-2019;control;197512198.0;39203364.0;73054110.0;4950.0;1880.0;776.0
30-10-2019;control;175665984.0;36544320.0;48196193.0;5552.0;3048.0;1039.0
31-10-2019;control;179252152.0;47021128.0;57593330.0;7383.0;2651.0;1069.0
01-11-2019;control;137324049.0;41618047.0;45066026.0;8809.0;3245.0;510.0
02-11-2019;control;110309312.0;28237048.0;31732921.0;3206.0;1726.0;461.0
03-11-2019;control;66870973.0;12987778.0;20820572.0;932.0;842.0;185.0
04-11-2019;control;123056542.0;24816511.0;50248423.0;1803.0;910.0;523.0
05-11-2019;control;179301623.0;40687268.0;64522931.0;5279.0;2236.0;1113.0
06-11-2019;control;205354741.0;46817185.0;64530100.0;7061.0;3032.0;808.0
07-11-2019;control;270190758.0;64294633.0;64330536.0;10922.0;6553.0;1100.0
08-11-2019;control;201600242.0;39582415.0;78807968.0;5434.0;1930.0;520.0
09-11-2019;control;106453642.0;20815535.0;52809922.0;1902.0;1492.0;383.0
10-11-2019;control;76386139.0;10197236.0;41719712.0;1083.0;278.0;246.0
11-11-2019;control;136301447.0;20672969.0;54978583.0;2604.0;797.0;694.0
12-11-2019;control;173188799.0;41704436.0;62474354.0;6028.0;2926.0;674.0
13-11-2019;control;200568320.0;55088992.0;67466367.0;8909.0;3524.0;832.0
14-11-2019;control;200921628.0;54198657.0;91798061.0;4409.0;2925.0;895.0
15-11-2019;control;225310211.0;40975770.0;62511207.0;9803.0;2203.0;754.0
16-11-2019;control;155067591.0;34830732.0;58662817.0;4683.0;2257.0;665.0
17-11-2019;control;105859453.0;21336732.0;56197867.0;1483.0;720.0;479.0
18-11-2019;control;259863685.0;53886681.0;86531526.0;10054.0;3246.0;877.0
19-11-2019;control;226524418.0;61642006.0;89735002.0;7933.0;4190.0;1533.0
20-11-2019;control;219305982.0;47106515.0;66593579.0;6242.0;2149.0;580.0
